case_id,sheet,level_1_feature,level_2_feature,classification_code,classification,test_result,probe_id,runner_command,returncode,duration_seconds,implementation_entrypoints,supported_boundaries_exclusions,evidence_summary
P22-WF-L2-011,Workflow Features,Requirement compilation,Constraint Resolution,1,Function implemented and test passed,PASS,wf_pm_reject,.\.venv\Scripts\python.exe -m pytest -q tests/harness/test_codex_pm_router.py::test_validate_compiled_package_rejects_raw_metadata_pollution,0,3.581,"harness/tools/codex_pm_router.py::_build_contracts, _default_stop_rules, _node_enrichment; harness/lib/plan_validator.py::compile_and_stamp; harness/lib/policy/action_policy.py",Repository governance and action restrictions are concrete; cost and domain-specific policy tradeoff resolution may remain textual.,Executable representative-core probe passed.
P22-WF-L2-012,Workflow Features,Requirement compilation,Requirement Prioritization,1,Function implemented and test passed,PASS,wf_pm_build,.\.venv\Scripts\python.exe -m pytest -q tests/harness/test_codex_pm_router.py::test_build_pm_intake_emits_capsule_plan_for_standard_request,0,3.56,"harness/tools/codex_pm_router.py::_build_requirement_items, _short_task_graph, _standard_task_graph, build_pm_intake",Priority fields and dependency graph exist; rich preference optimization and explicit tradeability scoring are limited.,Executable representative-core probe passed.
P22-WF-L2-013,Workflow Features,Requirement compilation,Acceptance Definition,1,Function implemented and test passed,PASS,wf_pm_reject,.\.venv\Scripts\python.exe -m pytest -q tests/harness/test_codex_pm_router.py::test_validate_compiled_package_rejects_raw_metadata_pollution,0,3.581,"harness/tools/codex_pm_router.py::_default_acceptance, _default_stop_rules, _build_contracts; harness/lib/plan_validator.py; harness/schemas/acceptance-verdict.schema.json",Strong for repository task proof and schema conformance; scientific/business thresholds still require user/domain definition.,Executable representative-core probe passed.
P22-WF-L2-014,Workflow Features,Requirement compilation,Requirement Contract Confirmation,1,Function implemented and test passed,PASS,wf_pm_reject,.\.venv\Scripts\python.exe -m pytest -q tests/harness/test_codex_pm_router.py::test_validate_compiled_package_rejects_raw_metadata_pollution,0,3.581,"harness/tools/codex_pm_router.py::build_pm_intake, validate_compiled_package; harness/lib/plan_validator.py::compile_and_stamp; harness/lib/workflow_intake.py::create_contract_sprint",Versioned/stamped contracts and assumptions exist; explicit conversational user confirmation is not a universal mandatory step in the current local flow.,Executable representative-core probe passed.
P22-WF-L2-015,Workflow Features,Search & ideation,Search Strategy Formation,1,Function implemented and test passed,PASS,wf_lit_strategy,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_literature_discover.py::test_from_wiki_uses_recent_arxiv_anchors_and_honors_limit,0,1.514,"harness/plugins/autosci/backends/literature_discover.py::discover_literature, _score_candidate, _finalize_candidates; harness/lib/research/evaluator.py::source_requirements_for_profile","Implements literature search strategy; source-family, geography, viewpoint, and general open-web strategy are not all first-class.",Executable representative-core probe passed.
P22-WF-L2-016,Workflow Features,Search & ideation,Multi-Source Signal Discovery,1,Function implemented and test passed,PASS,wf_lit_provider,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_literature_discover.py::test_topic_discovery_retries_semantic_scholar_429_then_returns_candidates,0,1.564,harness/plugins/autosci/backends/literature_discover.py::discover_literature; harness/plugins/autosci/adapters/autosci_to_literature_discovery.py::convert,"No verified unified discovery across patents, standards, experts, think tanks, industry reports, big-tech dynamics, broad communities, all open web, and internal history; parallel research agents are not a distinct implementation here.",Executable representative-core probe passed.
P22-WF-L2-017,Workflow Features,Search & ideation,Source Qualification,1,Function implemented and test passed,PASS,wf_lit_provider,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_literature_discover.py::test_topic_discovery_retries_semantic_scholar_429_then_returns_candidates,0,1.564,"harness/plugins/autosci/backends/literature_discover.py::_score_candidate, _dedupe_candidates; harness/lib/research/evaluator.py::evaluate_retrieval_closeout",Authority/recency/diversity/provenance are implemented through heuristics and metadata; incentives and nuanced bias are not fully automated.,Executable representative-core probe passed.
P22-WF-L2-018,Workflow Features,Search & ideation,Technical Signal Extraction,1,Function implemented and test passed,PASS,wf_grounded,.\.venv\Scripts\python.exe -m pytest -q tests/harness/scenarios/test_p7_grounded_synthesis.py::test_fixed_source_packs_compile_to_a_passing_topic_general_report,0,2.241,"harness/lib/research/grounded_synthesis.py; harness/lib/research/claim_compiler.py; harness/plugins/autosci/bin/autosci_bridge.py::_paper_claims_raw, _paper_methods_raw","Paper claims/methods and grounded synthesis are supported; generalized benchmark, adoption, dependency, and failure extraction across all source types is partial.",Executable representative-core probe passed.
P22-WF-L2-019,Workflow Features,Search & ideation,Signal Organization,1,Function implemented and test passed,PASS,wf_grounded,.\.venv\Scripts\python.exe -m pytest -q tests/harness/scenarios/test_p7_grounded_synthesis.py::test_fixed_source_packs_compile_to_a_passing_topic_general_report,0,2.241,"harness/lib/research/grounded_synthesis.py::_merge_source_packs, _validated_evidence_links, compile_grounded_report; harness/lib/research/claim_compiler.py",Convergence/divergence and contradictions are represented; richer semantic clusters and dependency graphs are limited.,Executable representative-core probe passed.
P22-WF-L2-020,Workflow Features,Search & ideation,Trend & Gap Analysis,1,Function implemented and test passed,PASS,wf_grounded,.\.venv\Scripts\python.exe -m pytest -q tests/harness/scenarios/test_p7_grounded_synthesis.py::test_fixed_source_packs_compile_to_a_passing_topic_general_report,0,2.241,"harness/lib/research/grounded_synthesis.py::_validated_evidence_gaps; harness/lib/research/survey/quality.py::_build_literature_map, _build_controversy_review; harness/lib/research/survey/evidence_pack.py::build_evidence_packs","Evidence gaps and controversy are implemented; general longitudinal momentum/decay, abandoned-direction, bottleneck, and white-space detection across all source families is partial.",Executable representative-core probe passed.
P22-WF-L2-021,Workflow Features,Search & ideation,Idea Generation,2,Function implemented but test failed,FAIL,wf_ideate,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_runs_ideate_from_wiki_and_discovery_sources,1,6.809,"harness/plugins/autosci/backends/idea_source.py::collect_idea_sources, build_idea_candidates, _candidate_status, _apply_max_ideas_selection",Several deterministic generation paths exist; diversity is heuristic and initial opposing evidence is more mature in later novelty review than in every candidate.,"a_write_count""] == 0
        assert growth_report[""wiki_scan""][""source_mode""] == ""mixed""
        source_proof = json.loads((tmp_path / artifacts[""provider_source_runtime_proof_manifest_json""]).read_text(encoding=""utf-8""))
        source_proof_entry = source_proof[""proofs""][0]
        assert source_proof_entry[""native_skill""] == ""ideate""
        assert source_proof_entry[""categories""] == [""provider_source_evidence""]
        assert source_proof_entry[""collection_mode""] == ""manual_review""
        assert not any(category == ""external_runtime_evidence"" for category in source_proof_entry[""categories""])
>       assert any(ref.endswith(""methods/adaptation.md"") for ref in source_proof_entry[""evidence_refs""])
E       assert False
E        +  where False = any(<generator object test_autosci_skill_shim_runs_ideate_from_wiki_and_discovery_sources.<locals>.<genexpr> at 0x000001E45F802DC0>)

tests\plugins\autosci\test_autosci_skill_shim.py:10394: AssertionError
=========================== short test summary info ===========================
FAILED tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_runs_ideate_from_wiki_and_discovery_sources
1 failed in 5.93s
"
P22-WF-L2-022,Workflow Features,Search & ideation,Search Coverage Review,1,Function implemented and test passed,PASS,wf_evaluation,.\.venv\Scripts\python.exe -m pytest -q tests/harness/research_unit/test_evaluator.py::test_evaluate_artifacts_passes_complete_artifact_set,0,1.9,harness/lib/research/survey/evaluator.py::evaluate_survey; harness/lib/research/survey/quality.py::_build_source_coverage; harness/lib/research/evaluator.py::evaluate_artifacts,"Technical/source-type/counter-evidence coverage is supported; explicit geographic, temporal, and viewpoint coverage dimensions are not all first-class.",Executable representative-core probe passed.
P22-WF-L2-023,Workflow Features,Idea identification / screening / opportunity selection,Candidate Consolidation,1,Function implemented and test passed,PASS,wf_ideate_dedup,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_ideate_active_idea_dedup_filters_duplicate,0,3.786,"harness/plugins/autosci/backends/idea_source.py::_overlaps_known, _candidate_status, _apply_max_ideas_selection, build_idea_candidates",Token/text overlap and deterministic selection exist; robust semantic duplicate resolution and explicit variant-preservation logic are limited.,Executable representative-core probe passed.
P22-WF-L2-024,Workflow Features,Idea identification / screening / opportunity selection,Idea Identification,2,Function implemented but test failed,FAIL,wf_ideate,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_runs_ideate_from_wiki_and_discovery_sources,1,6.809,harness/plugins/autosci/backends/idea_source.py::build_idea_candidates; harness/plugins/autosci/adapters/autosci_to_idea_candidate.py::convert,Recognizable technical candidates are implemented; explicit user-value proposition fields are mostly embedded in text rather than separately typed.,"a_write_count""] == 0
        assert growth_report[""wiki_scan""][""source_mode""] == ""mixed""
        source_proof = json.loads((tmp_path / artifacts[""provider_source_runtime_proof_manifest_json""]).read_text(encoding=""utf-8""))
        source_proof_entry = source_proof[""proofs""][0]
        assert source_proof_entry[""native_skill""] == ""ideate""
        assert source_proof_entry[""categories""] == [""provider_source_evidence""]
        assert source_proof_entry[""collection_mode""] == ""manual_review""
        assert not any(category == ""external_runtime_evidence"" for category in source_proof_entry[""categories""])
>       assert any(ref.endswith(""methods/adaptation.md"") for ref in source_proof_entry[""evidence_refs""])
E       assert False
E        +  where False = any(<generator object test_autosci_skill_shim_runs_ideate_from_wiki_and_discovery_sources.<locals>.<genexpr> at 0x000001E45F802DC0>)

tests\plugins\autosci\test_autosci_skill_shim.py:10394: AssertionError
=========================== short test summary info ===========================
FAILED tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_runs_ideate_from_wiki_and_discovery_sources
1 failed in 5.93s
"
P22-WF-L2-025,Workflow Features,Idea identification / screening / opportunity selection,Idea Card Formation,2,Function implemented but test failed,FAIL,wf_ideate,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_runs_ideate_from_wiki_and_discovery_sources,1,6.809,harness/plugins/autosci/adapters/autosci_to_idea_candidate.py::convert; harness/plugins/autosci/adapters/autosci_to_idea_evaluation.py::convert; harness/plugins/autosci/backends/novelty_review.py::evaluate_novelty_and_review,The fields exist across `idea_candidate` and `idea_evaluation`; no single governing Idea Card schema contains every described field/open question.,"a_write_count""] == 0
        assert growth_report[""wiki_scan""][""source_mode""] == ""mixed""
        source_proof = json.loads((tmp_path / artifacts[""provider_source_runtime_proof_manifest_json""]).read_text(encoding=""utf-8""))
        source_proof_entry = source_proof[""proofs""][0]
        assert source_proof_entry[""native_skill""] == ""ideate""
        assert source_proof_entry[""categories""] == [""provider_source_evidence""]
        assert source_proof_entry[""collection_mode""] == ""manual_review""
        assert not any(category == ""external_runtime_evidence"" for category in source_proof_entry[""categories""])
>       assert any(ref.endswith(""methods/adaptation.md"") for ref in source_proof_entry[""evidence_refs""])
E       assert False
E        +  where False = any(<generator object test_autosci_skill_shim_runs_ideate_from_wiki_and_discovery_sources.<locals>.<genexpr> at 0x000001E45F802DC0>)

tests\plugins\autosci\test_autosci_skill_shim.py:10394: AssertionError
=========================== short test summary info ===========================
FAILED tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_runs_ideate_from_wiki_and_discovery_sources
1 failed in 5.93s
"
P22-WF-L2-026,Workflow Features,Idea identification / screening / opportunity selection,Opportunity Definition,2,Function implemented but test failed,FAIL,wf_ideate,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_runs_ideate_from_wiki_and_discovery_sources,1,6.809,harness/plugins/autosci/backends/idea_source.py::build_idea_candidates; harness/schemas/evidence/idea_candidate.v1.schema.json,"Technical gap/opportunity framing is present, but unmet user, missing capability, and actionability are not separate typed fields.","a_write_count""] == 0
        assert growth_report[""wiki_scan""][""source_mode""] == ""mixed""
        source_proof = json.loads((tmp_path / artifacts[""provider_source_runtime_proof_manifest_json""]).read_text(encoding=""utf-8""))
        source_proof_entry = source_proof[""proofs""][0]
        assert source_proof_entry[""native_skill""] == ""ideate""
        assert source_proof_entry[""categories""] == [""provider_source_evidence""]
        assert source_proof_entry[""collection_mode""] == ""manual_review""
        assert not any(category == ""external_runtime_evidence"" for category in source_proof_entry[""categories""])
>       assert any(ref.endswith(""methods/adaptation.md"") for ref in source_proof_entry[""evidence_refs""])
E       assert False
E        +  where False = any(<generator object test_autosci_skill_shim_runs_ideate_from_wiki_and_discovery_sources.<locals>.<genexpr> at 0x000001E45F802DC0>)

tests\plugins\autosci\test_autosci_skill_shim.py:10394: AssertionError
=========================== short test summary info ===========================
FAILED tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_runs_ideate_from_wiki_and_discovery_sources
1 failed in 5.93s
"
P22-WF-L2-027,Workflow Features,Idea identification / screening / opportunity selection,Technical Opportunity Screening,1,Function implemented and test passed,PASS,wf_novelty,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_runs_novelty_target_with_local_sources,0,3.507,harness/plugins/autosci/backends/novelty_review.py::evaluate_novelty_and_review; harness/plugins/autosci/adapters/autosci_to_idea_evaluation.py::convert,"Novelty and feasibility are explicit; reachable data, mechanism maturity, and credible verification path are not all independently scored.",Executable representative-core probe passed.
P22-WF-L2-028,Workflow Features,Idea identification / screening / opportunity selection,Strategic Opportunity Screening,3,Function not implemented and test blocked,BLOCKED,,,,0.0,Not found as a dedicated implementation. Closest: `harness/plugins/autosci/backends/novelty_review.py::evaluate_novelty_and_review`.,"Novelty/feasibility/risk review is available, but company value, timing, defensibility, adoption, legal exposure, and resource implications are not modeled as a complete strategic screen.",No direct core implementation was found; adjacent or partial surfaces do not satisfy this L2 contract.
P22-WF-L2-029,Workflow Features,Idea identification / screening / opportunity selection,Opportunity Portfolio Prioritization,1,Function implemented and test passed,PASS,wf_ideate_dedup,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_ideate_active_idea_dedup_filters_duplicate,0,3.786,harness/plugins/autosci/backends/idea_source.py::_apply_max_ideas_selection; harness/plugins/autosci/backends/novelty_review.py::evaluate_novelty_and_review,"Supports maximum-count selection and screening recommendations; transparent strategic criteria, diversity optimization, and detailed defer/reject rationale are limited.",Executable representative-core probe passed.
P22-WF-L2-030,Workflow Features,Generate technical claims & hypothesis,Research Question & Technical Claim Formation,1,Function implemented and test passed,PASS,wf_claim_convert,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_conversion_to_solar_evidence.py::test_raw_claims_convert_to_unverified_solar_claims,0,1.087,"harness/plugins/autosci/bin/autosci_bridge.py::_paper_claims_raw, _claim_testability; harness/plugins/autosci/adapters/autosci_to_research_claims.py::convert","Deterministic paper claim extraction exists; explicit typed research question, expected effect, research object, and applicability fields are limited.",Executable representative-core probe passed.
P22-WF-L2-031,Workflow Features,Generate technical claims & hypothesis,"Claim, Evidence, Data & Method Modeling",1,Function implemented and test passed,PASS,wf_phase4_convert,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_conversion_to_solar_evidence.py::test_core_phase4_converters_emit_expected_schema_names,0,1.001,harness/plugins/autosci/adapters/autosci_to_research_claims.py::convert; harness/plugins/autosci/adapters/autosci_to_research_method.py::convert; harness/plugins/autosci/adapters/autosci_to_experiment_plan.py::convert,Typed claim/method/experiment fields exist; a single explicit claim-evidence-data-method graph and formal missing-evidence edges are not fully unified.,Executable representative-core probe passed.
P22-WF-L2-032,Workflow Features,Generate technical claims & hypothesis,Hypothesis Pool & Mechanism Formation,3,Function not implemented and test blocked,BLOCKED,,,,0.0,Partial only: `harness/plugins/autosci/backends/idea_source.py::build_idea_candidates`; `harness/plugins/autosci/adapters/autosci_to_experiment_plan.py::convert`.,"Single-hypothesis storage is supported. Alternative/competing hypotheses, mechanism nodes/edges, and pool ranking are absent.",No direct core implementation was found; adjacent or partial surfaces do not satisfy this L2 contract.
P22-WF-L2-033,Workflow Features,Generate technical claims & hypothesis,Falsifiability Screening & Hypothesis Contracting,1,Function implemented and test passed,PASS,wf_phase4_convert,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_conversion_to_solar_evidence.py::test_core_phase4_converters_emit_expected_schema_names,0,1.001,harness/plugins/autosci/bin/autosci_bridge.py::_claim_testability; harness/plugins/autosci/adapters/autosci_to_experiment_plan.py::convert; harness/schemas/evidence/experiment_plan.v1.schema.json,"The testability check is a keyword heuristic, not a rigorous logical falsifiability proof; overturning conditions are represented indirectly through metrics/outcomes.",Executable representative-core probe passed.
P22-WF-L2-034,Workflow Features,Generate technical claims & hypothesis,Verification-Ready POC Design,2,Function implemented but test failed,FAIL,wf_exp_design,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_exp_design_marks_execution_ready_with_approval_preflight,1,4.127,harness/plugins/autosci/adapters/autosci_to_experiment_plan.py::convert; harness/schemas/evidence/experiment_plan.v1.schema.json,Strong mapping to experiment design; no distinct general-purpose POC-design schema or complete success/failure threshold model beyond plan content.,"ccess_criteria""]
        artifacts = {artifact[""type""]: artifact[""path""] for artifact in evidence[""artifacts""]}
        assert ""experiment_design_final_execution_boundary_json"" in artifacts
        sidecar = json.loads((tmp_path / artifacts[""experiment_design_final_execution_boundary_json""]).read_text(encoding=""utf-8""))
        assert sidecar[""status""] == ""execution_ready""
        payload_artifacts = {artifact[""type""]: artifact[""path""] for artifact in payload[""artifacts""]}
>       assert ""wiki_mutation_runtime_proof_manifest_json"" in payload_artifacts
E       AssertionError: assert 'wiki_mutation_runtime_proof_manifest_json' in {'route_config': 'C:\\Users\\j50058254\\Desktop\\Github repo\\OpenSolar-Canonical\\harness\\plugins\\autosci\\config\\...i_skill_shim_exp_de0\\artifacts\\autosci\\runs\\shim-exp-design-execution-ready\\autosci_skill_run_progress.json', ...}

tests\plugins\autosci\test_autosci_skill_shim.py:2290: AssertionError
=========================== short test summary info ===========================
FAILED tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_exp_design_marks_execution_ready_with_approval_preflight
1 failed in 3.25s
"
P22-WF-L2-035,Workflow Features,POC implementation,POC Implementation Environment Preparation,1,Function implemented and test passed,PASS,wf_poc_plan,.\.venv\Scripts\python.exe -m pytest -q tests/harness/test_autosci_intake_contract.py::test_autosci_contract_task_graph_selects_autosci_physical_workers,0,6.114,harness/tools/codex_pm_router.py::_node_enrichment; harness/lib/plan_validator.py; harness/lib/graph_node_dispatcher.py,Generic governed preparation exists; no first-class cross-domain POC environment preparer or standardized environment snapshot is found.,Executable representative-core probe passed.
P22-WF-L2-036,Workflow Features,POC implementation,POC Construction,2,Function implemented but test failed,FAIL,wf_exp_run,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_exp_pilot_run_parity_demo_auto_executes_local_command,1,3.644,"harness/tools/codex_pm_router.py::_short_task_graph, _standard_task_graph, _node_enrichment; harness/lib/graph_node_dispatcher.py",Generic code-building nodes are supported; models/prompts/hardware POCs depend on available workers/tools and are not uniformly implemented.,"                              str(marker),
                            ]
                        )
                    ],
                }
            ),
            encoding=""utf-8"",
        )

        proc = run_shim(
            tmp_path,
            ""$exp-pilot-run"",
            ""pilot-parity-001"",
            ""--allowlist-evidence"",
            str(allowlist),
            ""--gate-mode"",
            ""parity_demo"",
            ""--run-id"",
            ""shim-exp-pilot-run-parity-command"",
        )
>       assert proc.returncode == 0, proc.stderr
E       AssertionError:
E       assert 2 == 0
E        +  where 2 = CompletedProcess(args=['C:\\Users\\j50058254\\Desktop\\Github repo\\OpenSolar-Canonical\\.venv\\Scripts\\python.exe', ...un"",\n  ""status"": ""failed"",\n  ""work_dir"": ""artifacts/autosci/runs/shim-exp-pilot-run-parity-command""\n}\n', stderr='').returncode

tests\plugins\autosci\test_autosci_skill_shim.py:2860: AssertionError
=========================== short test summary info ===========================
FAILED tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_exp_pilot_run_parity_demo_auto_executes_local_command
1 failed in 2.78s
"
P22-WF-L2-037,Workflow Features,POC implementation,POC Component Integration & Configuration,2,Function implemented but test failed,FAIL,wf_exp_run,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_exp_pilot_run_parity_demo_auto_executes_local_command,1,3.644,"harness/tools/codex_pm_router.py::_standard_task_graph, _node_enrichment; harness/lib/plan_validator.py; harness/lib/graph_node_dispatcher.py",Dependency-aware generic graph integration exists; there is no POC-specific integration schema or universal interface compatibility checker.,"                              str(marker),
                            ]
                        )
                    ],
                }
            ),
            encoding=""utf-8"",
        )

        proc = run_shim(
            tmp_path,
            ""$exp-pilot-run"",
            ""pilot-parity-001"",
            ""--allowlist-evidence"",
            str(allowlist),
            ""--gate-mode"",
            ""parity_demo"",
            ""--run-id"",
            ""shim-exp-pilot-run-parity-command"",
        )
>       assert proc.returncode == 0, proc.stderr
E       AssertionError:
E       assert 2 == 0
E        +  where 2 = CompletedProcess(args=['C:\\Users\\j50058254\\Desktop\\Github repo\\OpenSolar-Canonical\\.venv\\Scripts\\python.exe', ...un"",\n  ""status"": ""failed"",\n  ""work_dir"": ""artifacts/autosci/runs/shim-exp-pilot-run-parity-command""\n}\n', stderr='').returncode

tests\plugins\autosci\test_autosci_skill_shim.py:2860: AssertionError
=========================== short test summary info ===========================
FAILED tests/plugins/autosci/test_autosci_skill_shim.py::test_autosci_skill_shim_exp_pilot_run_parity_demo_auto_executes_local_command
1 failed in 2.78s
"
